"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Total
N0101,158,321,23,132,200,302,310,33,79,104,24,83,104,122,0,13,28,229,247,4,100,815,3431
N0201,58,101,4,46,118,127,131,16,32,79,307,48,55,36,2,4,27,120,94,3,72,190,1670
N0202,93,185,4,101,132,222,178,39,49,121,6,75,68,90,1,6,14,147,167,2,61,283,2044
N0301,198,971,16,249,378,436,435,37,122,171,112,120,297,180,7,19,41,442,493,4,171,1141,6040
N0401,289,497,11,326,418,541,580,64,160,157,59,147,244,317,7,17,37,535,668,3,174,1728,6979
N0501,185,234,24,309,481,427,519,31,105,167,51,117,266,669,9,24,29,493,815,4,138,1223,6320
N0601,110,246,7,138,187,267,287,32,76,64,9,79,97,131,3,13,22,285,263,0,117,755,3188
N0602,110,205,8,204,259,351,351,23,71,83,33,77,171,253,10,6,20,324,500,3,75,1405,4542
N0701,248,363,9,230,371,531,441,43,145,225,37,147,807,194,2,23,43,424,620,5,212,693,5813
N0801,163,242,7,96,174,315,305,36,88,126,17,105,101,159,2,7,13,268,199,0,140,515,3078
N0802,80,187,2,89,92,162,160,30,63,126,71,93,63,71,2,8,13,143,137,2,109,238,1941
N0901,169,309,9,215,314,299,328,30,76,66,185,78,215,105,3,15,38,296,423,4,126,1687,4990
N1001,104,307,8,173,201,267,275,33,74,249,70,108,715,103,1,13,48,295,404,7,307,533,4295
N1101,40,80,0,39,81,69,109,13,33,72,330,57,34,29,1,4,11,116,69,1,37,150,1375
N1102,34,61,0,15,61,39,59,5,19,43,236,38,20,24,0,3,4,55,41,0,22,301,1080
N1103,59,105,3,53,99,103,119,13,40,72,533,35,27,28,3,4,9,100,63,3,36,290,1797
N1104,80,92,1,32,69,62,82,8,19,49,169,49,31,39,3,7,8,83,62,1,30,240,1216
N1201,209,580,7,244,388,393,383,30,110,173,118,129,300,162,3,28,36,439,487,38,167,1488,5912
N1301,19,143,0,31,37,31,43,3,16,23,30,22,31,20,1,4,5,41,62,2,28,130,722
N1302,105,634,8,128,191,190,226,38,44,114,49,112,124,90,3,17,5,244,282,3,134,552,3293
N1303,69,390,1,70,90,124,89,16,32,46,11,38,74,42,0,6,4,122,100,4,58,214,1600
N1401,148,629,5,241,392,435,530,49,103,209,78,133,624,148,4,11,19,441,508,6,134,707,5554
N1501,162,357,6,182,286,284,425,28,96,134,479,104,153,128,3,17,24,329,363,11,141,895,4607
N1601,12,42,0,14,32,25,33,1,4,22,177,8,6,6,2,2,2,39,26,1,8,93,555
N1602,21,49,0,30,42,31,60,4,14,28,207,15,8,21,1,1,5,40,34,0,18,223,852
N1604,118,42,3,38,76,58,99,5,11,16,103,26,22,19,1,1,3,56,93,1,31,1091,1913
N1606,23,45,1,24,41,93,70,4,13,27,122,11,23,20,1,3,14,49,44,1,26,113,768
N1701,104,400,4,190,233,278,350,20,62,122,43,70,227,106,2,11,15,318,342,2,85,581,3565
N1702,209,338,21,192,271,411,414,42,128,185,39,161,148,208,6,19,50,342,257,3,166,1019,4629
N1801,69,37,3,40,41,39,58,7,14,34,34,27,31,19,0,2,6,50,36,0,16,120,683
N1802,28,53,0,22,42,70,57,14,41,25,112,33,29,29,2,0,10,58,39,1,40,121,826
N1803,47,53,5,50,51,61,78,9,26,47,27,26,61,32,2,4,10,65,47,0,42,129,872
N1804,47,76,2,52,68,87,93,10,18,86,107,40,32,34,1,6,19,76,68,3,70,207,1202
N1805,18,16,0,24,20,23,27,2,11,20,12,9,8,10,0,0,1,21,13,0,4,78,317
P0101,147,196,3,171,195,320,332,21,97,117,36,111,163,150,4,12,26,298,212,2,136,852,3601
P0201,193,494,2,230,266,417,524,74,325,170,11,192,180,346,1,14,30,432,453,4,182,808,5348
P0301,81,190,1,105,129,188,211,54,109,96,13,75,85,131,1,4,18,223,186,0,73,313,2286
P0302,102,170,3,182,200,267,282,20,100,89,4,69,165,163,3,10,19,273,296,0,68,612,3097
P0401,136,207,5,231,357,304,400,30,230,138,13,106,293,228,6,19,20,401,315,5,93,879,4416
P0501,207,335,7,336,474,496,605,39,246,173,14,159,274,308,9,22,27,610,599,4,160,1001,6105
P0601,193,278,4,275,356,455,405,50,204,151,20,133,277,1516,4,8,22,535,411,1,138,1176,6612
P0701,195,391,9,228,277,359,345,54,212,184,15,135,331,963,9,19,29,443,396,3,126,704,5427
P0801,124,200,1,151,278,286,360,31,93,64,15,68,229,146,2,12,15,353,256,4,65,1317,4070
P0802,41,55,2,42,45,84,80,18,42,28,3,38,35,46,0,0,5,56,69,1,30,157,877
P0901,202,315,6,176,286,358,423,43,138,109,5,132,225,215,6,12,19,491,298,3,112,1309,4883
P1001,333,369,11,244,378,635,681,161,218,321,36,338,202,271,6,15,31,508,384,4,392,1099,6637
P1002,77,132,0,53,87,138,179,61,76,162,6,170,44,68,2,2,8,147,65,0,203,295,1975
P1101,175,259,1,256,340,442,479,47,174,143,13,138,251,216,3,10,21,418,447,0,202,814,4849
P1201,221,270,6,174,216,443,397,88,136,178,6,175,168,176,3,14,10,317,222,4,199,550,3973
P1202,58,58,1,72,68,125,120,21,50,55,9,50,44,62,3,2,4,110,67,0,54,199,1232
