"Counting Station",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
K0101,86,200,3,6,210,0,355,171,27,273,171,153,46,168,80,712,7,2,15,339,3024
K0201,125,179,3,4,236,1,298,105,17,276,145,155,41,142,82,1032,4,4,14,410,3273
K0301,217,539,10,13,728,4,1151,521,85,878,370,413,123,405,331,1378,21,7,43,1193,8430
K0401,74,208,5,2,272,2,362,201,31,322,268,210,58,251,125,1241,9,5,189,468,4303
K0501,78,200,2,4,295,2,258,122,18,267,313,184,48,1469,103,349,10,3,32,378,4135
K0601,118,379,3,7,505,2,2650,172,35,818,292,450,90,166,222,394,15,12,16,883,7229
K0701,172,502,7,10,517,3,783,214,37,599,272,321,94,240,168,1254,16,13,22,915,6159
K0801,66,227,0,6,275,1,505,128,22,333,160,194,48,112,144,854,1,7,17,503,3603
K0901,152,452,3,14,557,2,940,337,57,871,327,275,88,278,277,1267,12,8,24,996,6937
K1001,153,402,10,15,584,6,1856,488,86,1036,393,330,113,231,261,844,25,7,26,1199,8065
K1101,142,401,7,9,464,5,880,229,43,775,248,238,76,232,210,1047,10,6,16,920,5958
K1102,111,204,4,11,290,2,295,117,20,363,163,140,40,106,110,1178,10,6,18,500,3688
K1201,14,78,1,1,75,1,215,109,14,118,71,47,12,42,27,179,6,5,2,149,1166
K1202,32,138,3,7,157,1,418,124,33,214,101,56,23,82,59,273,6,3,1,255,1986
K1301,173,254,3,3,280,1,799,161,91,565,251,242,39,130,206,354,9,12,14,861,4448
K1401,207,355,11,10,458,5,886,717,70,772,304,316,94,340,282,1087,15,10,25,945,6909
K1501,120,189,3,1,410,0,262,123,59,517,254,198,57,276,98,1045,13,5,30,411,4071
K1502,34,81,1,5,102,1,160,76,18,140,56,73,14,56,25,229,8,2,5,208,1294
K1601,173,222,4,4,443,6,280,91,34,729,321,211,53,395,94,1188,20,7,23,414,4712
K1701,112,152,3,9,227,4,219,113,38,189,164,152,39,239,69,1121,7,4,17,260,3138
K1801,72,126,3,0,138,1,147,83,30,118,106,100,24,102,58,733,8,0,5,231,2085
K1802,80,139,2,3,217,1,172,87,28,149,170,127,29,169,66,810,9,1,12,263,2534
L0101,54,152,4,6,244,0,269,192,160,187,110,154,43,140,99,79,1,2,10,368,2274
L0102,25,100,3,1,155,3,215,147,160,126,73,81,24,93,50,63,5,0,4,206,1534
L0201,94,626,15,5,602,5,718,335,689,327,211,241,83,242,159,138,12,8,18,870,5398
L0202,43,221,3,3,280,0,369,200,221,250,151,148,28,175,137,90,8,2,4,504,2837
L0301,54,286,5,1,326,1,321,168,640,203,150,183,49,214,133,54,5,2,8,478,3281
L0302,28,157,1,2,114,0,181,70,156,129,88,83,14,67,63,34,8,1,2,283,1481
L0401,63,159,4,3,393,2,249,166,214,156,168,207,46,854,357,82,12,6,9,433,3583
L0402,27,145,1,6,144,0,218,85,300,103,81,68,22,144,96,38,3,1,4,218,1704
L0501,51,155,6,8,415,2,274,247,909,160,234,453,52,210,109,65,3,5,12,544,3914
L0601,55,140,5,7,376,1,215,224,526,129,197,388,44,197,77,61,12,3,14,452,3123
L0602,61,303,6,8,354,2,382,182,649,272,186,237,53,245,110,75,5,8,9,600,3747
L0701,101,385,6,7,608,2,1313,372,285,530,316,320,93,260,217,113,9,7,13,951,5908
L0801,103,325,7,14,599,4,479,332,455,271,297,290,89,367,203,136,21,15,16,719,4742
L0901,32,182,5,2,271,2,254,115,153,102,159,157,42,861,64,48,12,4,11,254,2730
