Station,LC1,LC2,LC3,LC4,LC5,DS,AF,TR,A,B,C,D,E,F,G,K,M,N,U,V,X,Y,Z,CA
A0101,3430,0,0,0,0,3064,0,0,89,19,42,8,49,8,16,14,4,4,0,5,1,14,11,10
A0102,4973,0,0,0,0,3766,0,1,150,275,150,226,43,36,42,3,13,65,18,12,27,39,35,15
A0201,7266,0,0,0,0,5564,0,5,321,212,284,168,103,134,103,29,15,21,19,17,12,41,72,19
A0301,4415,0,0,0,0,3515,0,0,182,102,138,75,100,55,53,18,4,16,5,2,10,20,38,10
A0302,1750,0,0,0,0,1387,0,1,83,50,61,48,25,12,22,7,3,8,2,2,2,13,9,3
A0401,1192,0,0,0,0,868,0,2,42,67,34,56,7,25,29,0,3,21,14,4,5,7,9,6
A0501,7592,0,0,0,0,5824,0,5,412,210,277,199,163,96,99,33,4,23,15,21,18,41,64,11
A0601,7098,0,0,0,0,6243,0,2,203,62,128,42,97,33,43,26,5,6,1,11,4,31,38,11
A0701,9117,0,0,0,0,8314,0,0,191,54,100,51,107,27,24,23,6,6,4,6,2,30,18,10
A0801,7620,0,0,0,0,6822,0,0,205,15,99,19,120,20,23,33,7,5,0,7,1,37,35,12
A0901,9780,0,0,0,0,8353,0,2,323,78,240,121,179,56,50,59,4,9,5,8,7,56,58,18
A1001,9940,0,0,0,0,9182,0,0,208,20,70,23,95,19,16,36,3,2,2,12,1,45,33,8
A1101,4909,0,0,0,0,4554,0,1,78,3,41,4,47,10,5,14,3,0,1,2,1,20,16,9
A1102,2327,0,0,0,0,2132,0,0,63,9,23,2,15,4,7,6,0,2,0,2,1,14,2,5
A1201,5317,0,0,0,0,4798,0,0,127,20,64,17,71,14,12,23,5,3,1,6,3,48,14,18
A1301,1992,0,0,0,0,1761,0,1,61,21,30,12,27,7,10,8,0,1,1,2,1,8,6,5
A1302,4535,0,0,0,0,4005,0,0,122,27,60,33,72,23,16,15,1,1,2,11,3,25,21,9
A1401,6585,0,0,0,0,5798,0,0,224,23,75,23,101,21,27,46,4,5,2,10,2,31,39,12
A1501,5166,0,0,0,0,4507,0,0,193,16,72,37,85,19,22,42,3,0,2,5,2,27,31,12
B0101,5524,0,0,0,0,5080,0,0,116,10,47,21,52,5,12,12,3,2,0,10,3,12,16,18
B0201,5058,0,0,0,0,4612,0,0,130,12,39,13,44,14,8,23,2,1,2,15,2,11,16,16
B0301,7333,0,0,0,0,6409,0,3,174,80,131,95,81,47,59,17,3,13,11,27,4,33,22,11
B0401,8030,0,0,0,0,6996,0,0,291,67,118,62,104,51,51,28,8,4,7,27,9,20,47,16
B0501,1491,0,0,0,0,1148,0,0,80,33,46,24,35,21,24,7,7,3,1,0,4,5,24,2
B0502,4253,0,0,0,0,4078,0,0,43,6,22,2,16,4,9,7,1,0,0,2,0,8,9,1
B0601,5046,0,0,0,0,4553,0,1,140,19,48,22,47,15,15,11,9,2,1,13,3,40,14,12
B0701,5756,0,0,0,0,4846,0,1,255,62,121,48,83,42,39,20,5,9,5,17,3,21,54,6
B0801,6060,0,0,0,0,4568,0,3,248,193,214,193,75,115,123,12,8,29,21,14,15,34,63,19
B0901,5439,0,0,0,0,4301,0,1,175,136,164,199,75,84,57,13,4,12,19,17,23,32,47,11
B1001,5204,0,0,0,0,4415,0,1,183,77,113,66,71,28,44,22,7,9,3,12,5,20,33,12
B1101,1186,0,0,0,0,909,0,1,69,22,33,32,19,15,21,5,5,5,4,5,1,2,11,2
B1102,1742,0,0,0,0,1342,0,0,57,53,54,75,17,28,24,1,2,16,6,6,6,11,11,4
B1201,4719,0,0,0,0,4127,0,2,117,71,97,45,41,23,21,17,4,11,3,8,3,14,25,16
B1301,4805,0,0,0,0,4299,0,1,135,36,78,35,59,16,18,9,1,4,0,7,1,12,14,8
C0101,8949,0,0,0,0,7246,0,0,427,74,298,100,171,124,87,48,8,5,5,22,18,18,102,10
C0201,5094,0,0,0,0,4263,0,1,269,34,117,41,87,36,33,27,2,4,1,7,2,13,41,6
C0202,4946,0,0,0,0,3970,0,2,269,50,168,63,86,60,51,18,6,4,3,5,6,11,53,8
C0301,6591,0,0,0,0,5378,0,2,283,49,218,59,133,80,56,44,11,6,6,11,6,16,69,14
C0401,11466,0,0,0,0,10824,0,0,155,9,74,7,81,18,19,32,6,3,0,7,4,16,27,14
C0501,5720,0,0,0,0,5257,3,1,126,5,40,12,50,4,10,23,1,0,0,4,1,16,19,21
C0601,5799,0,0,0,0,5390,0,0,100,6,56,3,59,6,7,21,3,0,0,6,3,15,21,13
C0602,6102,0,0,0,0,5718,3,0,98,0,33,3,41,8,9,15,0,1,1,3,1,21,8,10
C0701,10859,0,0,0,0,8944,0,1,508,54,294,76,222,117,86,65,7,4,3,20,7,31,100,11
C0801,8224,0,0,0,0,7862,0,0,83,2,24,3,49,5,6,19,2,0,0,2,0,21,10,11
C0901,9354,0,0,0,0,8216,0,0,294,28,147,54,163,51,40,49,4,5,9,18,4,23,72,22
C1001,10349,0,0,0,0,9955,1,0,89,2,28,1,39,3,9,25,1,0,0,3,0,24,19,17
C1101,11303,0,0,0,0,10563,1,0,197,9,86,4,122,12,13,41,2,2,0,8,1,21,38,18
C1201,8555,0,0,0,0,8261,0,1,67,0,15,4,26,3,1,19,0,0,2,5,1,12,12,6
C1301,9184,0,0,0,0,8872,1,1,63,1,12,2,40,2,4,23,1,1,0,5,0,10,11,10
C1401,10451,0,0,0,0,9552,0,0,266,18,112,27,93,32,30,33,1,0,1,10,5,12,49,5
C1501,7007,0,0,0,0,5447,0,2,289,178,280,174,91,124,101,24,3,18,13,19,16,30,70,21
C1601,6418,0,0,0,0,5311,0,0,309,50,182,65,131,74,53,24,11,9,6,12,4,18,61,16
C1701,4187,0,0,0,0,3767,0,0,111,14,64,9,50,15,17,11,7,0,3,7,2,8,25,6
C1801,10223,0,0,0,0,9586,0,0,193,12,69,25,66,9,13,16,9,1,0,22,4,14,21,12
C1802,13071,0,0,0,0,11440,0,3,433,60,246,103,177,80,64,44,16,11,6,34,16,46,97,24
C1901,5025,0,0,0,0,4435,0,0,207,20,68,22,66,25,25,17,4,3,2,8,3,9,26,8
C2001,3286,0,0,0,0,2772,0,1,136,18,78,26,59,26,29,10,3,2,2,15,7,9,28,4
C2101,9362,0,0,0,0,8312,0,0,323,20,124,29,128,25,29,45,5,2,3,17,4,19,51,18
C2201,4867,0,0,0,0,4433,0,0,129,5,54,16,70,18,5,17,1,0,0,6,1,8,12,3
C2301,6291,0,0,0,0,5745,0,1,136,10,44,13,63,12,21,18,0,2,0,6,2,7,22,10
C2401,8625,0,0,0,0,7537,0,1,299,34,159,36,137,47,51,27,4,4,5,15,5,21,57,14
C2501,5578,0,0,0,0,4548,0,0,272,35,148,55,103,67,70,29,0,4,1,5,3,7,59,10
C2601,9730,0,0,0,0,8279,0,1,408,62,232,51,200,91,52,35,7,8,8,16,4,21,80,10
C2701,6179,0,0,0,0,5920,0,0,71,1,23,1,29,2,2,10,0,0,1,1,0,10,14,7
C2702,6366,0,0,0,0,5929,0,0,145,3,55,3,60,12,7,26,2,3,3,8,1,7,22,9
C2801,11765,0,0,0,0,10700,0,1,313,12,101,20,154,30,24,40,7,3,1,13,3,19,31,23
C2901,7493,0,0,0,0,7146,0,0,91,6,39,3,47,3,8,19,2,1,1,3,0,8,19,11
C2902,3750,0,0,0,0,3426,0,1,82,4,29,10,34,3,5,17,0,1,2,2,0,7,17,5
C3001,5621,0,0,0,0,5453,1,0,27,0,7,0,14,1,1,9,0,0,1,3,0,6,6,7
C3101,4890,0,0,0,0,4688,0,0,40,1,10,3,17,2,3,13,0,0,0,5,1,9,9,6
C3102,4973,0,0,0,0,4834,0,0,26,2,6,0,10,0,2,9,0,0,0,1,0,12,7,1
C3201,6838,0,0,0,0,6262,0,0,164,5,47,9,96,9,8,32,6,1,2,6,0,23,26,10
C3301,4090,0,0,0,0,3673,0,0,115,3,44,9,65,9,10,24,2,2,0,1,4,5,22,10
C3401,12593,0,0,0,0,11934,0,0,156,5,41,3,81,12,6,42,5,0,1,5,2,31,28,13
C3501,6207,0,0,0,0,5997,0,0,51,2,8,1,30,1,2,16,1,0,0,2,1,12,4,4
D0101,10462,0,0,0,0,9480,5,1,300,7,87,15,141,18,26,60,1,0,0,6,0,45,32,17
D0201,8496,0,0,0,0,8286,0,0,34,0,3,1,20,0,0,9,2,0,0,1,0,7,2,8
D0301,6015,0,0,0,0,5375,1,1,180,11,55,20,86,15,15,36,6,0,2,3,1,17,23,13
D0401,10192,0,0,0,0,9650,3,0,130,8,61,16,91,11,10,29,2,0,2,8,2,21,25,6
D0501,9009,0,0,0,0,8691,2,0,86,1,25,3,41,4,6,17,0,0,0,2,1,9,10,5
D0601,7751,0,0,0,0,6302,0,0,335,39,206,52,246,121,67,40,7,4,6,13,5,18,62,13
D0701,8572,0,0,0,0,7004,2,1,402,52,214,61,255,110,64,54,8,8,9,13,6,18,63,14
D0801,10893,0,0,0,0,10370,0,0,140,1,46,6,82,7,8,43,1,0,0,11,1,20,17,14
D0901,7659,0,0,0,0,7450,0,0,52,1,16,0,7,0,1,7,0,1,0,3,0,13,9,5
D1001,8728,0,0,0,0,8464,1,0,56,3,12,6,23,5,3,19,0,0,0,4,1,13,5,8
D1101,1515,0,0,0,0,1099,0,0,168,68,27,55,17,15,16,4,3,8,3,4,5,7,12,2
D1102,2310,0,0,0,0,1763,0,0,117,66,70,88,47,42,24,4,3,4,3,5,6,7,19,1
D1103,2071,0,0,0,0,1639,0,1,51,59,80,74,29,11,9,3,1,10,7,3,8,4,32,4
D1201,778,0,0,0,0,717,0,0,7,13,6,7,5,0,3,1,0,0,1,0,1,3,1,1
D1202,8493,0,0,0,0,7045,0,1,469,68,137,74,255,48,68,44,9,5,4,20,3,13,46,14
D1301,2321,0,0,0,0,2126,0,0,58,0,7,3,29,4,6,14,2,0,0,1,1,11,7,5
D1302,6765,0,0,0,0,6550,1,0,45,1,22,1,31,3,4,17,1,2,0,3,0,14,8,3
