station,name_eng,name_chi,address_eng,address_chi,district_eng,district_chi,poll_only,lat,lng
A0101,"Joint Professional Centre","專業聯合中心","Unit 1, G/F, The Center, 99 Queen's Road Central, Central, Hong Kong","香港中環皇后大道中99號中環中心地下1室",Central and Western District,中西區,False,22.2846159,114.1547235
A0102,"Hong Kong Park Sports Centre","香港公園體育館","29 Cotton Tree Drive, Central, Hong Kong","香港中環紅棉路29號",Central and Western District,中西區,False,22.2772895,114.1593161
A0201,"Raimondi College","高主教書院","2 Robinson Road, Hong Kong","香港羅便臣道2號",Central and Western District,中西區,False,22.2783056,114.1534215
A0301,"Hong Kong True Light Kindergarten (Caine Road)","香港真光幼稚園(堅道)","G/F-2/F, 75 Caine Road, Hong Kong","香港堅道75號地下至2樓",Central and Western District,中西區,False,22.2815372,114.1519302
A0302,"Centre for Food Safety (Hospital Road Office), Food and Environmental Hygiene Department","食物環境衞生署食物安全中心(醫院道辦事處)","4 Hospital Road, Hong Kong","香港醫院道4號",Central and Western District,中西區,False,22.2838566,114.1470245
A0401,"German Swiss International School Peak Campus","德瑞國際學校山頂校舍","Middle Building, German Swiss International School Peak Campus, 22 Guildford Road, The Peak, Hong Kong","香港山頂僑福道22號德瑞國際學校山頂校舍中座",Central and Western District,中西區,False,22.2655664,114.160906
A0501,"Sai Ying Pun Community Complex Community Hall","西營盤社區綜合大樓社區會堂","3/F, Sai Ying Pun Community Complex, 2 High Street, Sai Ying Pun, Hong Kong","香港西營盤高街2號西營盤社區綜合大樓3樓",Central and Western District,中西區,False,22.284894,114.1440843
A0601,"HKYWCA Western District Integrated Social Service Centre","香港基督教女青年會西環綜合社會服務處","Flat A, 1/F, Block 1, Centenary Mansion, 9-15 Victoria Road, Western District, Hong Kong","香港西環域多利道9-15號百年大樓第1期A座2樓",Central and Western District,中西區,False,22.2819131,114.1257545
A0701,"Smithfield Sports Centre","士美非路體育館","4/F, Smithfield Municipal Services Building, 12K Smithfield, Kennedy Town, Hong Kong","香港堅尼地城士美菲路12號K士美非路市政大廈4樓",Central and Western District,中西區,False,22.2817561,114.1286842
A0801,"Kennedy Town Community Complex (Multi-purpose Function Room)","堅尼地城社區綜合大樓(綜合用途室)","2/F, 12 Rock Hill Street, Kennedy Town, Hong Kong","香港堅尼地城石山街12號2樓",Central and Western District,中西區,False,22.281839,114.129117
