"Time","Voter Turnout (Overall)","Voter Turnout (Hong Kong Island)","Voter Turnout (Kowloon West)","Voter Turnout (Kowloon East)","Voter Turnout (NT West)","Voter Turnout (NT East)","Cumulative Turnout Rate (Overall)","Cumulative Turnout Rate (Hong Kong Islang)","Cumulative Turnout Rate  (Kowloon West)","Cumulative Turnout Rate (Kowloon East)","Cumulative Turnout Rate  (NT West)","Cumulative Turnout Rate (NT East)"
8:30,49420,9021,6758,8022,13992,11627,1.31,1.44,1.38,1.33,1.29,1.19
9:30,140926,24574,19115,23369,40107,33761,3.73,3.91,3.92,3.88,3.69,3.46
10:30,269046,45809,35649,44484,76611,66493,7.12,7.30,7.30,7.39,7.05,6.82
11:30,417481,71733,55914,67930,117913,103991,11.05,11.43,11.45,11.29,10.85,10.66
12:30,566640,99000,75573,91447,156967,143653,14.99,15.77,15.48,15.20,14.45,14.73
13:30,713452,124400,94199,113611,199130,182112,18.88,19.82,19.30,18.89,18.33,18.68
14:30,865476,149744,113876,136170,241354,224332,22.90,23.85,23.33,22.64,22.21,23.01
15:30,1017884,175670,135178,159293,282857,264886,26.93,27.98,27.69,26.48,26.03,27.17
16:30,1177489,205855,155822,183790,325506,306516,31.16,32.79,31.92,30.55,29.96,31.44
17:30,1334042,233531,175945,207945,367862,348759,35.30,37.20,36.04,34.57,33.86,35.77
18:30,1494529,261026,197053,231979,411656,392815,39.55,41.58,40.37,38.56,37.89,40.29
19:30,1647843,287381,216896,254229,455136,434201,43.60,45.78,44.43,42.26,41.89,44.53
20:30,1807380,314419,236510,278485,500706,477260,47.83,50.08,48.45,46.29,46.08,48.95
21:30,1986544,344853,259053,304336,551868,526434,52.57,54.93,53.07,50.59,50.79,53.99
22:30,2202283,381330,283754,336738,613070,587391,58.28,60.74,58.13,55.98,56.43,60.24
